slength	swidth	plength	pwidth	Species	response	log_response
5.1	3.5	1.4	0.2	setosa	4.020921624265016	1
4.9	3	1.4	0.2	setosa	4.304090744403531	1
4.7	3.2	1.3	0.2	setosa	3.6894051018958463	0
4.6	3.1	1.5	0.2	setosa	4.0941658336798366	1
5	3.6	1.4	0.2	setosa	3.79499326534638	1
5.4	3.9	1.7	0.4	setosa	4.11706146537725	0
4.6	3.4	1.4	0.3	setosa	3.3971460495172554	1
5	3.4	1.5	0.2	setosa	4.194748079986144	1
4.4	2.9	1.4	0.2	setosa	3.8881124928480957	1
4.9	3.1	1.5	0.1	setosa	4.597414868152737	1
5.4	3.7	1.5	0.2	setosa	4.295589131283462	0
4.8	3.4	1.6	0.2	setosa	4.206989620085615	1
4.8	3	1.4	0.1	setosa	4.387382523433221	1
4.3	3	1.1	0.1	setosa	3.305506268666426	1
5.8	4	1.2	0.2	setosa	3.7934780460895365	1
5.7	4.4	1.5	0.4	setosa	3.4994054943501083	0
5.4	3.9	1.3	0.4	setosa	3.3074056739615108	0
5.1	3.5	1.4	0.3	setosa	3.7965149607637505	1
5.7	3.8	1.7	0.3	setosa	4.69429280038707	1
5.1	3.8	1.5	0.3	setosa	3.70909702731614	1
5.4	3.4	1.7	0.2	setosa	5.001772425678817	1
5.1	3.7	1.5	0.4	setosa	3.596969291137663	1
4.6	3.6	1	0.2	setosa	2.598561282136552	1
5.1	3.3	1.7	0.5	setosa	4.193897155776448	1
4.8	3.4	1.9	0.2	setosa	4.8001930872412855	0
5	3	1.6	0.2	setosa	4.804968893297685	1
5	3.4	1.6	0.4	setosa	3.998059555743556	0
5.2	3.5	1.5	0.2	setosa	4.291601974944672	1
5.2	3.4	1.4	0.2	setosa	4.212323512407714	1
4.7	3.2	1.6	0.2	setosa	4.320272559774175	1
4.8	3.1	1.6	0.2	setosa	4.50613656438638	1
5.4	3.4	1.5	0.4	setosa	4.183170870870878	1
5.2	4.1	1.5	0.1	setosa	3.8938139670720227	1
5.5	4.2	1.4	0.2	setosa	3.704844758692464	0
4.9	3.1	1.5	0.2	setosa	4.393583140671002	1
5	3.2	1.2	0.2	setosa	3.785794531434302	1
5.5	3.5	1.3	0.2	setosa	4.208479458606072	1
4.9	3.6	1.4	0.1	setosa	3.888314174151343	1
4.4	3	1.3	0.2	setosa	3.60341145948332	0
5.1	3.4	1.5	0.2	setosa	4.300567063687639	1
5	3.5	1.3	0.3	setosa	3.5052350591424806	0
4.5	2.3	1.3	0.3	setosa	4.198598781396395	1
4.4	3.2	1.3	0.2	setosa	3.390517525264658	1
5	3.5	1.6	0.6	setosa	3.5014140086916243	1
5.1	3.8	1.9	0.4	setosa	4.2910934787128605	1
4.8	3	1.4	0.3	setosa	4.009454282187577	1
5.1	3.8	1.6	0.2	setosa	4.104813450727609	1
4.6	3.2	1.4	0.2	setosa	3.8067236757115133	1
5.3	3.7	1.5	0.2	setosa	4.182286580156046	0
5	3.3	1.4	0.2	setosa	4.098477368112659	1
7	3.2	4.7	1.4	versicolor	10.415267928612872	1
6.4	3.2	4.5	1.5	versicolor	9.194654866509865	0
6.9	3.1	4.9	1.5	versicolor	10.595427280692139	0
5.5	2.3	4	1.3	versicolor	8.607956614854158	1
6.5	2.8	4.6	1.5	versicolor	9.896346867342611	0
5.7	2.8	4.5	1.3	versicolor	9.30464422720628	1
6.3	3.3	4.7	1.6	versicolor	9.19831051818914	0
4.9	2.4	3.3	1	versicolor	7.097635495035567	0
6.6	2.9	4.6	1.3	versicolor	10.29943204065368	0
5.2	2.7	3.9	1.4	versicolor	7.50059777078456	0
5	2	3.5	1	versicolor	7.9784083164797	1
5.9	3	4.2	1.5	versicolor	8.29158305607578	0
6	2.2	4	1	versicolor	9.79537669378003	1
6.1	2.9	4.7	1.4	versicolor	9.787715701994431	1
5.6	2.9	3.6	1.3	versicolor	7.299347318930648	1
6.7	3.1	4.4	1.4	versicolor	9.595193624964821	0
5.6	3	4.5	1.5	versicolor	8.620219732494782	0
5.8	2.7	4.1	1	versicolor	9.286647253183268	0
6.2	2.2	4.5	1.5	versicolor	10.010034416792376	1
5.6	2.5	3.9	1.1	versicolor	8.721601666688064	1
5.9	3.2	4.8	1.8	versicolor	8.682212459143678	0
6.1	2.8	4	1.3	versicolor	8.703486585436586	0
6.3	2.5	4.9	1.5	versicolor	10.622560500060477	1
6.1	2.8	4.7	1.2	versicolor	10.301371183411684	1
6.4	2.9	4.3	1.3	versicolor	9.490334973061087	1
6.6	3	4.4	1.4	versicolor	9.602440814049839	0
6.8	2.8	4.8	1.4	versicolor	10.798254940577445	0
6.7	3	5	1.7	versicolor	10.300492189566333	0
6	2.9	4.5	1.5	versicolor	9.088862357913383	0
5.7	2.6	3.5	1	versicolor	8.115303165020482	1
5.5	2.4	3.8	1.1	versicolor	8.486520247338444	0
5.5	2.4	3.7	1	versicolor	8.513365403627462	1
5.8	2.7	3.9	1.2	versicolor	8.486612016200334	1
6	2.7	5.1	1.6	versicolor	10.304594733551411	0
5.4	3	4.5	1.5	versicolor	8.403166918776918	0
6	3.4	4.5	1.6	versicolor	8.408487229089085	1
6.7	3.1	4.7	1.5	versicolor	9.996730847625146	0
6.3	2.3	4.4	1.3	versicolor	10.20686288398444	1
5.6	3	4.1	1.3	versicolor	8.20563086871293	1
5.5	2.5	4	1.3	versicolor	8.401055266327607	0
5.5	2.6	4.4	1.2	versicolor	9.286315579716016	1
6.1	3	4.6	1.4	versicolor	9.50204131001319	1
5.8	2.6	4	1.2	versicolor	8.814219867714847	1
5	2.3	3.3	1	versicolor	7.2919288156662985	1
5.6	2.7	4.2	1.3	versicolor	8.69708608487979	0
5.7	3	4.2	1.2	versicolor	8.710922102741835	0
5.7	2.9	4.2	1.3	versicolor	8.594550834663657	1
6.2	2.9	4.3	1.3	versicolor	9.28366414307173	0
5.1	2.5	3	1.1	versicolor	6.407159130445237	0
5.7	2.8	4.1	1.3	versicolor	8.503013573024171	1
6.3	3.3	6	2.5	virginica	9.996316035961925	0
5.8	2.7	5.1	1.9	virginica	9.49063252228002	0
7.1	3	5.9	2.1	virginica	11.71344439885869	0
6.3	2.9	5.6	1.8	virginica	11.008201909969461	0
6.5	3	5.8	2.2	virginica	10.69974149019923	0
7.6	3	6.6	2.1	virginica	13.593413452202512	0
4.9	2.5	4.5	1.7	virginica	7.990401839949796	0
7.3	2.9	6.3	1.8	virginica	13.405031916963319	1
6.7	2.5	5.8	1.8	virginica	12.201983019630198	0
7.2	3.6	6.1	2.5	virginica	10.81297561787109	0
6.5	3.2	5.1	2	virginica	9.492106462426722	0
6.4	2.7	5.3	1.9	virginica	10.49593071478328	0
6.8	3	5.5	2.1	virginica	10.593780684823876	0
5.7	2.5	5	2	virginica	9.199569404412486	0
5.8	2.8	5.1	2.4	virginica	8.406341602296436	0
6.4	3.2	5.3	2.3	virginica	9.222523125976473	0
6.5	3	5.5	1.8	virginica	10.891568341391725	0
7.7	3.8	6.7	2.2	virginica	12.900879930543988	0
7.7	2.6	6.9	2.3	virginica	14.28253949381086	0
6	2.2	5	1.5	virginica	10.802978680452284	1
6.9	3.2	5.7	2.3	virginica	10.475715780030688	0
5.6	2.8	4.9	2	virginica	8.604569017780491	0
7.7	2.8	6.7	2	virginica	14.301258402787402	1
6.3	2.7	4.9	1.8	virginica	9.79261318143058	1
6.7	3.3	5.7	2.1	virginica	10.606138711956183	0
7.2	3.2	6	1.8	virginica	12.413487270359141	0
6.2	2.8	4.8	1.8	virginica	9.38838259854109	0
6.1	3	4.9	1.8	virginica	9.299923074576185	0
6.4	2.8	5.6	2.1	virginica	10.587668960888017	0
7.2	3	5.8	1.6	virginica	12.585527830373845	0
7.4	2.8	6.1	1.9	virginica	12.998042190926173	0
7.9	3.8	6.4	2	virginica	12.904359734891747	1
6.4	2.8	5.6	2.2	virginica	10.401359253212355	0
6.3	2.8	5.1	1.5	virginica	10.695315562087343	1
6.1	2.6	5.6	1.4	virginica	11.88243905193063	1
7.7	3	6.1	2.3	virginica	12.314133347502853	0
6.3	3.4	5.6	2.4	virginica	9.308862196358024	0
6.4	3.1	5.5	1.8	virginica	10.687909612353362	0
6	3	4.8	1.8	virginica	9.00535920312388	0
6.9	3.1	5.4	2.1	virginica	10.402132262399514	0
6.7	3.1	5.6	2.4	virginica	10.000339605833927	0
6.9	3.1	5.1	2.3	virginica	9.392245743585969	0
5.8	2.7	5.1	1.9	virginica	9.486171538987334	0
6.8	3.2	5.9	2.3	virginica	10.793132249002667	0
6.7	3.3	5.7	2.5	virginica	9.802958670255844	0
6.7	3	5.2	2.3	virginica	9.498826267045528	0
6.3	2.5	5	1.9	virginica	10.0224401553952	0
6.5	3	5.2	2	virginica	9.878067542660242	0
6.2	3.4	5.4	2.3	virginica	8.999714477681724	0
5.9	3	5.1	1.8	virginica	9.4972901411961	0
