features	beta	p_values	t_values	se
intercept	0.39843979533586554	NaN	NaN	NaN
cells_areashape_area	1.266179899824783	NaN	NaN	NaN
cells_areashape_eccentricity	-0.06860462919085408	NaN	NaN	NaN
cells_areashape_extent	-0.08842341535632853	NaN	NaN	NaN
cells_areashape_formfactor	0.15590188176193054	NaN	NaN	NaN
cells_areashape_majoraxislength	-0.4163294178347296	NaN	NaN	NaN
cells_areashape_minoraxislength	-0.5477886048438501	NaN	NaN	NaN
cells_areashape_orientation	-0.04441678189320128	NaN	NaN	NaN
cells_areashape_perimeter	0.5306192986321531	NaN	NaN	NaN
cells_location_center_x	-0.20197043795158107	NaN	NaN	NaN
cells_location_center_y	-0.06201316387458642	NaN	NaN	NaN
cells_neighbors_anglebetweenneighbors_2	0.022528206091879645	NaN	NaN	NaN
cells_neighbors_firstclosestobjectnumber_2	-0.4103524100310062	NaN	NaN	NaN
cells_neighbors_firstclosestxvector_2	0.09795840882076892	NaN	NaN	NaN
cells_neighbors_firstclosestyvector_2	0.030144331069099046	NaN	NaN	NaN
cells_neighbors_numberofneighbors_2	-0.2687158082869703	NaN	NaN	NaN
cells_neighbors_percenttouching_2	-0.45853603279779404	NaN	NaN	NaN
cells_neighbors_secondclosestobjectnumber_2	-0.21852503517750652	NaN	NaN	NaN
cells_neighbors_secondclosestxvector_2	0.05292703917928391	NaN	NaN	NaN
cells_neighbors_secondclosestyvector_2	-0.02761323091039055	NaN	NaN	NaN
nuclei_areashape_area	0.4470778212113162	NaN	NaN	NaN
nuclei_areashape_eccentricity	0.10687345703640219	NaN	NaN	NaN
nuclei_areashape_extent	-0.03323849889426232	NaN	NaN	NaN
nuclei_areashape_formfactor	0.2584410259155459	NaN	NaN	NaN
nuclei_areashape_majoraxislength	-0.5308543023940981	NaN	NaN	NaN
nuclei_areashape_minoraxislength	-0.19703163385385528	NaN	NaN	NaN
nuclei_areashape_orientation	0.0017868254751803466	NaN	NaN	NaN
nuclei_areashape_perimeter	0.04192973736465622	NaN	NaN	NaN
nuclei_location_center_x	0.16213216737722239	NaN	NaN	NaN
nuclei_location_center_y	0.038657092131370856	NaN	NaN	NaN
perinuclei_areashape_area	0.8897145559589391	NaN	NaN	NaN
perinuclei_areashape_eccentricity	-0.11714841317549483	NaN	NaN	NaN
perinuclei_areashape_formfactor	-0.0046662233706228195	NaN	NaN	NaN
perinuclei_areashape_majoraxislength	-0.42083205060342893	NaN	NaN	NaN
perinuclei_areashape_minoraxislength	-0.7119777124871526	NaN	NaN	NaN
perinuclei_areashape_orientation	0.07363891566726251	NaN	NaN	NaN
perinuclei_areashape_perimeter	0.7988553272517925	NaN	NaN	NaN
perinuclei_location_center_x	0.20257704189894488	NaN	NaN	NaN
perinuclei_location_center_y	0.0014828738823862702	NaN	NaN	NaN
perinuclei_parent_expandednuclei	0.18060781537767448	NaN	NaN	NaN
perinuclei_parent_nuclei	0.18060781537767448	NaN	NaN	NaN
