well	gene	sirna	image_idx	object_idx	is_infected	cells_areashape_area	cells_areashape_eccentricity	cells_areashape_extent	cells_areashape_formfactor	cells_areashape_majoraxislength	cells_areashape_minoraxislength	cells_areashape_orientation	cells_areashape_perimeter	cells_children_bacteria_count	cells_children_invasomes_count	cells_location_center_x	cells_location_center_y	cells_neighbors_anglebetweenneighbors_2	cells_neighbors_firstclosestobjectnumber_2	cells_neighbors_firstclosestxvector_2	cells_neighbors_firstclosestyvector_2	cells_neighbors_numberofneighbors_2	cells_neighbors_percenttouching_2	cells_neighbors_secondclosestobjectnumber_2	cells_neighbors_secondclosestxvector_2	cells_neighbors_secondclosestyvector_2	cells_parent_nuclei	nuclei_areashape_area	nuclei_areashape_eccentricity	nuclei_areashape_extent	nuclei_areashape_formfactor	nuclei_areashape_majoraxislength	nuclei_areashape_minoraxislength	nuclei_areashape_orientation	nuclei_areashape_perimeter	nuclei_children_cells_count	nuclei_children_perinuclei_count	nuclei_location_center_x	nuclei_location_center_y	perinuclei_areashape_area	perinuclei_areashape_eccentricity	perinuclei_areashape_formfactor	perinuclei_areashape_majoraxislength	perinuclei_areashape_minoraxislength	perinuclei_areashape_orientation	perinuclei_areashape_perimeter	perinuclei_location_center_x	perinuclei_location_center_y	perinuclei_parent_expandednuclei	perinuclei_parent_nuclei	prediction	f_0	f_1	f_2	f_3	f_4	r_0	r_1	r_2	r_3	r_4	r_5	r_6	r_7	r_8	r_9	r_10	r_11	r_12	r_13	r_14	r_15	r_16	r_17	r_18	r_19	r_20	r_21	r_22	r_23	r_24	r_25	r_26	r_27	r_28	r_29	r_30	r_31	r_32	r_33	r_34	r_35	r_36	r_37	r_38	r_39	r_40	r_41	r_42	r_43	r_44	r_45	r_46	r_47	r_48	r_49
a02	abl2	none	15	97	1	0.86346656	0.51449007	-0.15519859	-0.5325736	0.8164859	0.59605956	0.7239844	0.7936776	0	3	-0.18641564	0.17198569	-0.37342012	0.26930705	1.6685127	0.18632892	0.13620575	0.51208556	0.05428747	-0.3208284	1.4162948	0.071042824362529	0.20287414	1.2006128999999999	-0.37904736	-1.0710556999999998	1.2404993999999998	-0.4382503	0.25888214	0.6107030999999999	1	1	-0.17303687	0.19322178	0.9497099	0.9007851	-0.21391602	0.91600096	-0.024605356000000002	0.35212296	0.8356986999999999	-0.17313741	0.19118531	0.07104282	0.07104282	38	-0.0008792475564405322	-0.006189579609781504	0.012807788327336313	0.0015040053986012936	-0.006882629357278347	1.6924529253377364e-18	1.8392662271371148e-07	2.913368671481692e-12	0.1237553388481038	0.001582695667584524	1.332232599937113e-12	3.611217008460846e-09	0.0003010716983747308	8.728511677301645e-23	1.082659738329941e-12	7.262020668087567e-09	4.708493348249956e-05	0.12369278348578774	0.00020361847234150556	1.182557486619887e-06	8.728562022693592e-23	7.271959562593725e-08	8.728511677301645e-23	8.728511677301645e-23	8.728511677301645e-23	8.728511677301645e-23	7.512388707072294e-05	5.85389608487215e-21	5.701073436175214e-07	5.605522348715948e-08	3.4856809987087683e-10	8.728861519743423e-23	1.2174746516559699e-17	0.016998526486029175	0.10154946705861452	2.961672218667516e-20	9.723459557310636e-05	3.519664291242671e-10	3.63703412090676e-11	6.105310108207493e-19	2.709286937094515e-12	2.5166441103858016e-07	1.6412704940055834e-08	0.2247565588092061	0.00013512833974553386	0.1851689522586444	6.734665329140528e-11	0.05133763135910654	1.256393354215306e-08	0.09413383145711678	0.06463023361843907	0.0021398026705794077	4.244592139633977e-15	0.00939251910230186	3.955904582366176e-08
a04	none	si00577353	30	105	0	-0.86706996	0.7536170999999999	-0.51859814	0.7560928000000001	-0.6549028	-1.093906	-0.7172181	-0.96668524	0	0	0.24396652	-0.18471232	1.5083805000000001	0.23604731	1.0347142	-0.32270193	-1.0195191	-0.07155427	0.1042825	-0.844419	0.30197382	0.203656922780401	-0.16132747	0.7947948	-0.85977644	-0.19298407	0.24322539999999998	-0.47334750000000003	-0.9268284	-0.059256483	1	1	0.23184457	-0.19201998	0.30135736	0.5005429	0.39359286	0.17611867	-0.11532328	-0.92365044	0.07027436	0.23347598	-0.19242635	0.20365693	0.20365693	38	0.0014357352629303932	0.004465484060347079	0.006980703677982092	-0.002330154180526733	-0.002517390530556441	1.6212170857162551e-09	4.8868053621281727e-14	1.3365494263048677e-06	0.0013259815594182359	4.954311718010017e-07	0.09641141733632663	3.136089201333505e-13	0.0002313935200456127	1.4849251105170703e-22	5.879876589081465e-19	0.0006776677456767695	0.03566425403348385	0.19067504174726851	0.017473905530400187	5.540986467949724e-07	4.8515369245793905e-09	0.06608944663296475	6.563418106932987e-24	6.563418106932987e-24	9.373846611886116e-05	6.563418106932987e-24	5.103462214406685e-06	1.2852564850798669e-11	3.4455214651907036e-05	3.714480866336994e-07	7.881863996270451e-09	1.5066534554455255e-19	6.0062111825043195e-06	0.00024512358752874915	0.044855146861063545	8.119131257707126e-08	0.14552516168760607	1.7526432220725827e-12	1.8193838654723486e-10	6.708142551755675e-24	3.6547720263409186e-07	6.616486010045046e-10	3.988756179842921e-09	0.2224064547059447	5.514076309749498e-05	0.0001331868973929607	1.296157055539264e-13	0.01781408877503189	4.188672940574082e-09	0.04992484597794738	0.0022834781882876557	0.10381699095616022	6.190913118353793e-06	0.004237806762512719	4.744877978123654e-06
a01	ptk2	none	8	52	1	-0.71418536	-1.1376535	-0.38119125	-0.10282539	-0.96203834	-0.17985976	-0.6903085999999999	-0.60435194	0	3	0.845617	-0.34278733	-0.89756846	-0.64533573	0.6261486999999999	1.3706292	-1.5973815	-1.3140028	-0.51232284	1.9819638	-0.29584345	-0.674911479238001	0.7742363	0.5383313	-0.17170611	0.40066198	0.78795904	0.43043897	-1.2047398	0.44356966	1	1	0.8249458000000001	-0.32691535	0.75520414	0.37053379999999997	-0.10718692	0.8801879000000001	0.6133395	-1.169442	0.63836545	0.8253999	-0.3270046	-0.6749115	-0.6749115	38	0.0029963282868266106	-0.003419534070417285	0.006393391638994217	0.0018629080150276427	0.0009360914118587973	5.908073251232363e-15	1.3441732396747181e-08	3.491028702140638e-06	0.002528419832342708	0.00023857461376540967	1.1480924997293178e-05	3.781136918997594e-15	7.443418962597818e-06	4.483456328479152e-24	2.2825629793856167e-18	0.003009395148295007	0.0008395199604603143	0.2435559564551089	0.014575716308630002	6.635954704321923e-05	1.2963690897102824e-11	2.2523377379347492e-05	4.077863169017127e-24	4.077863169017127e-24	8.893032991752634e-11	4.077863169017127e-24	0.004484786822826416	3.3493655091331986e-11	9.381479707134407e-07	0.00015172827596411322	5.566948368715819e-07	1.823704753450973e-15	9.32521044096514e-14	0.020583943235941732	0.0020119470828234547	9.549936307616262e-11	0.0006987958957022487	1.2400921739063635e-10	3.417324561371018e-07	3.0279784793419614e-16	8.35112267335929e-10	1.4728788629450991e-12	1.767307290495305e-09	0.5680445201986187	0.00014748757398190676	3.7470900967750197e-08	4.590786859107673e-09	0.004638187809984459	7.298359185165892e-06	0.002044821765118162	0.006633344065280985	0.12545992987667912	1.6129642343189006e-05	0.0002140592838011617	2.244458484336111e-06
a02	abl2	none	18	56	0	-0.504851	0.75670767	-0.93895185	0.0004265951	-0.2062208	-0.70409447	0.6365668000000001	-0.45126809999999995	0	0	-0.85874176	-0.25030175	0.6020569	-0.71185523	-0.2925624	-0.90376174	0.7140681999999999	0.7135189000000001	-0.4956577999999999	0.732003	0.43975317	-0.608604430029065	0.86779267	0.46381262	-0.7940919	-0.010225751	0.8364691999999999	0.59078413	0.73040915	0.66655374	1	1	-0.8570828000000001	-0.26069853	0.62553364	0.51343083	-0.61659396	1.0357261999999998	0.57580274	0.7674045999999999	0.7956705	-0.8568349000000001	-0.25823933	-0.60860443	-0.60860443	38	0.0022408927325159307	0.0017540092812851071	0.014602991752326487	0.007753304205834866	0.0010431662667542696	1.5108776380112247e-23	1.8712735453982596e-08	3.711516093587786e-09	0.0020077200947268073	0.006562006531824927	6.441939286696324e-05	5.077924709192706e-14	0.00013898416849947884	1.5108776057825294e-23	7.79781804497129e-16	3.28748063261099e-12	4.4059546743130316e-06	3.6294081488688134e-06	6.850595134731647e-06	0.0016282146767789738	7.602291443955133e-22	8.414558802697729e-14	1.5108776057825294e-23	1.5108776057825294e-23	2.0199095193397208e-12	1.5108776057825294e-23	2.03326770765579e-07	6.045248820347238e-17	1.3286884082991802e-09	1.5865506238810327e-09	0.0371142011982344	1.5202324508189366e-16	7.115895471017888e-14	0.3250732130451501	4.544936561816317e-05	1.5119026256220604e-23	1.9625423158888425e-05	0.005512816318103139	1.0143720286184554e-09	3.993639864839191e-06	9.835529557564349e-19	8.780519172396965e-12	2.911592712561483e-06	0.40745115854775016	1.3453482065672722e-08	4.4674374409777854e-11	0.005803532319083739	0.0014456036147502615	0.00016256633723917374	1.6187321262792874e-05	0.18114602233625365	0.025786056891542897	2.398087009385381e-19	1.7455581133116436e-07	1.347772437501891e-08
a23	ptk2	none	203	61	0	-0.75769866	0.5714013000000001	-0.3862825	-0.37168896	-0.52559125	-0.7782720999999999	-1.3726616000000003	-0.5553722	0	0	-0.5611789	-0.47661942	-1.0944556	-0.42914745	1.0684813999999998	-0.038868964	0.7140681999999999	0.029072221000000002	-0.44566279999999997	0.4706835999999999	0.94930196	-0.5257206185178951	-0.9899697000000001	-1.3929284	0.25638777	1.1798563999999998	-1.4153705	-0.40932477	-1.2906309	-1.177239	1	1	-0.54184747	-0.47176495	-1.2028204	0.19128501	0.7342808000000001	-1.1093309	-0.9230666999999999	-1.4532176	-1.3003722	-0.5495683000000001	-0.47165737	-0.5257206	-0.5257206	38	0.004899149294942617	0.0046478272415697575	-0.01149718277156353	0.0042525953613221645	0.0013093685265630484	1.9901774092335803e-17	0.002253853358421297	0.00014817663773061766	0.00023094089094155716	2.051974310710043e-06	5.074730219836999e-06	2.0418558435443903e-18	9.722031005963572e-12	0.2564626440440446	1.619960692198643e-17	1.87592802886696e-09	0.2430952475511585	0.0003636464997017679	0.08409224459422272	2.970541264639865e-05	0.005409581033249157	0.03593626044388789	1.0964119998239648e-23	1.0964119998239648e-23	3.463002066632368e-13	1.0964119998239648e-23	0.001495397230444401	3.3753278912097594e-05	1.4791261944498349e-05	0.0017796260457240989	1.871617830410447e-05	1.6394102042492206e-13	6.309126164781567e-06	0.016104810356692114	0.0046230995828114635	1.089898658468555e-06	5.30660750164471e-19	3.511533015642336e-06	3.236689441612863e-08	1.1585767825510163e-07	0.00011475702214225371	2.4832735476386343e-16	2.149005742408436e-07	0.3012158090306217	0.00034136639544583283	2.6009763996577438e-08	0.0003933538048996805	5.2633520158422905e-14	1.0047839631495165e-16	7.64125307366301e-07	0.04579639556434966	6.979219717557242e-06	2.7729499531604727e-08	1.7195892477010936e-07	1.9452464760536865e-05
a05	none	si00408485	43	67	1	0.19783036	0.2846165	-0.36165968	-0.62347627	0.19578516	0.26832786	-0.69404525	0.38404703	0	2	-0.84880227	-0.7815755999999999	-0.32925656	-0.32936823	0.8681146999999999	1.2185336000000002	-0.44165668	0.12919801	-0.31234270000000003	0.970877	-0.9461303	-0.426260044704491	0.8644514000000001	-0.024289353	-0.5739413000000001	0.19924882	0.5205411	0.90632856	-0.93646115	0.58193886	1	1	-0.8310738000000001	-0.7835331999999999	0.76384884	0.041854717	-0.20076776	0.7462826	0.84044564	-0.9214037	0.6904385999999999	-0.83177537	-0.7847718000000001	-0.42626005	-0.42626005	38	0.0071190744638442984	-0.00560260284692049	0.007653543259948492	0.007449026219546795	0.002103661885485053	1.00949642617544e-23	0.0013231384634986836	0.00013923254421736086	0.003302938423513505	0.01903393645877953	2.217813802849205e-07	1.024982730799484e-22	3.499170698047188e-06	1.032532701936034e-23	3.827788932318322e-23	4.771990676462074e-05	1.230676805521274e-05	0.011856118205016268	0.025215296116582474	3.825306504543689e-05	9.174881114105974e-21	7.131824298887908e-12	1.0075579558893088e-23	1.0075579558893088e-23	1.4969869935464867e-14	1.0075579558893088e-23	0.0006326262285395009	5.4341391459071496e-14	6.043053706207677e-10	0.0011842317572947011	0.0012961211055707226	1.796741661143756e-06	1.6551022464674543e-18	0.0656014412412165	6.205429645515464e-05	1.0001602435590483e-12	0.00016462640457121918	3.6152710977871426e-07	0.00363102425653206	1.6198136714715672e-05	1.3798497153140266e-15	8.045803309286182e-20	9.823587450927338e-14	0.42143417408325057	1.0747513233543933e-05	2.401364812359353e-16	0.0008306453160521161	8.633808367505446e-05	4.298750975227226e-06	3.5131303180649123e-06	0.22742028429284306	0.21664564472834388	3.987552542224271e-08	1.1702706347185864e-06	7.43324623839081e-10
a03	msl1	si00498785	19	38	1	0.44244579999999994	0.57323	0.24657226	0.28951812	0.43289015	0.13667284	0.7955429	0.12212359	0	3	0.34874597	-0.5869608000000001	-0.32523665	-0.92804354	-0.634683	-1.4301648	-1.0195191	0.43529639999999997	-0.74563295	1.7432288	-0.48879713	-0.906986151469277	-0.3952184	0.3289437	-0.33470923	0.6681959	-0.3291243	-0.39744875	0.9038332	-0.52979624	1	1	0.3155737	-0.6378656	-0.58472437	0.6312089	0.018090101	-0.15107246	-0.52030724	0.7740897	-0.49292699	0.31625587	-0.6323484	-0.9069862	-0.9069862	38	0.0048111104406416425	-6.102403494878672e-05	-4.858532702201046e-05	0.003854319686070085	-0.003257209900766611	3.730046147810492e-17	0.023934036782893055	2.6570650147741336e-05	0.0020259369700659363	0.0002951775245735955	5.401635803247012e-07	1.054417916723157e-18	1.481163161139955e-07	2.620445755632457e-09	2.0753038216439997e-18	0.015218131079609912	0.04024925993294922	0.01535376328663378	0.15357651040757475	0.00041598247027828156	5.95212004889192e-11	0.07557829856420381	6.761836959700844e-24	6.761836959700844e-24	3.073077297443657e-13	6.761836959700844e-24	0.0001598720348713575	2.865350262427707e-11	1.0950184483705495e-06	0.0009174410875507332	2.159642917172429e-06	4.5167543268887625e-12	6.859960234013275e-08	0.06810340841549069	0.09558402395631144	0.001108392676427121	5.4880440498130905e-06	6.273415392382151e-08	8.396219767680075e-06	9.43791968791756e-10	1.4559154030634752e-08	8.251447674809386e-16	6.226206603730865e-12	0.4076176169399687	0.002533996309177812	2.1422916388103714e-06	1.2181100312320725e-05	6.271868922782538e-06	4.4373313900501e-15	0.00014472527019237843	0.049214125709566126	0.04260343900853664	0.005093134124479885	0.00020042856298854367	7.156213176663336e-06
a21	bmp8a	si00395122	188	119	0	-0.7150674	0.557086	0.20497036	0.3464558	-0.5054153	-0.74391013	-0.33779970000000004	-0.7355931	0	0	0.14287537	-0.6347630999999999	-0.6673834	0.3524564	-0.13874984	1.0202107	0.13620575	0.7135189000000001	0.62089777	0.935831	0.23580395	0.435731595011677	0.69738644	0.5881415	-0.16117772	0.32902497	0.77573866	0.34137645	-0.54560137	0.41547656	1	1	0.14573129	-0.60950637	0.20194332	0.7355758000000001	-0.615093	0.9286298000000001	0.2096131	-0.54434216	0.45525070000000006	0.14741243	-0.6173073	0.4357316	0.4357316	38	0.006135099567472935	0.002953177085146308	0.01353726163506508	-0.002808759454637766	0.0020335507579147816	4.0615131039753797e-10	1.255518030699376e-20	5.3156889470013144e-05	0.0006959782907972313	0.00022970922644714059	0.016524879106258446	1.2377626459344712e-22	0.003785043848518141	5.815788519807372e-24	5.8157937606109475e-24	3.504061901699843e-09	0.0006373791763914933	0.0028025094569305753	0.2005400377520075	1.243944618290374e-09	1.2492363229215159e-14	0.00010328857147225754	5.8157885198073624e-24	5.8157885198073624e-24	5.815791223527487e-24	5.8157885198073624e-24	8.993392948584832e-07	2.4357322806530698e-15	1.173383400423171e-08	0.0004986355798592894	1.5954048351607472e-06	2.0672473907578915e-07	2.9045340010908946e-11	0.0011310018662390937	3.5689958193711106e-05	1.375729627648769e-20	3.650862037489531e-07	5.436015245429186e-18	0.00011732758551100671	5.816642160646462e-24	6.825121406977218e-11	6.280480032584086e-17	6.674436115509473e-17	0.5354645487185483	7.918678492869036e-09	8.772316755609952e-13	1.7237323302200394e-15	0.00014957688526794712	0.00029770136816566266	0.006252632163251374	0.00016673298941742036	0.23031292184922125	2.432853256402021e-12	0.00019814812506557648	9.130599784868334e-09
a04	none	si00577353	34	60	1	0.65472025	1.1630988000000002	-1.3314179	-0.048889417000000004	1.4673861000000001	-0.24809934	0.9549337999999999	0.39815816	0	4	-0.5339592	0.30118513	0.42473185	-0.4624072	0.5668917	0.8964955	0.13620575	0.7135189000000001	-0.812293	-1.5026997	-0.22737008	-0.542297380820129	1.2152878	0.5641189	0.6195928	0.06273780000000001	1.1307722	0.7182644	1.3449407	0.87804955	1	1	-0.52822286	0.29528296	1.1485379999999998	0.49333066	-0.42329323	1.3355249	0.84694946	1.2539794	1.0907197	-0.52789974	0.29384008	-0.54229736	-0.54229736	38	-0.002508065197616816	-0.007745457813143729	0.012828836217522621	0.007193897385150194	-0.0007733887759968637	1.3043702935300302e-23	1.5910748996972736e-07	5.0915265726532027e-14	0.01544178178881308	0.005930359956616547	4.119272480845289e-19	4.147800919375378e-07	1.6490577535127692e-06	1.3043701850553679e-23	4.733356720419607e-09	9.810868287168735e-09	1.5150225430431094e-08	6.766912784244383e-05	1.813306755107453e-10	4.9519658813045545e-06	1.351543614389922e-23	6.211697065585402e-20	1.3043701850553679e-23	1.3043701850553679e-23	1.3043701850574607e-23	1.3043701850553679e-23	0.002299916930412409	1.0516258985177653e-16	1.4516002182052184e-08	2.7520786519666265e-11	7.680468648094959e-08	1.3043701850843196e-23	4.2465387441554786e-23	0.14521603771225874	9.340940675422259e-05	1.0060959552885128e-20	1.2949237139198872e-08	0.0010022429316584966	5.5089652465832866e-15	1.0431712816904825e-09	1.1614152376069416e-16	1.6214452715376587e-06	0.000253098420949106	0.5903597208604945	1.215352023655163e-05	1.8211404078328478e-05	5.750575846497083e-05	0.05270496945346725	0.0002072324268341829	3.984395802980008e-05	0.18592030956117453	0.00036273003592691	1.3925516479869702e-16	3.875012664526896e-06	1.6037902559645874e-10
b10	rpl26	si00588413	298	78	0	-0.34902623	0.34550315	-1.5029111000000002	-0.08173737	-0.04255071	-0.051691588	-1.0955992	-0.29323298	0	0	0.8286895000000001	-0.24934801	0.7707844	-0.17969942	1.1276506000000002	-0.21666162	0.13620575	0.7135189000000001	-0.32900771	-0.72953373	0.7343261	-0.24391565937991702	-0.020992902999999997	1.0532403000000001	1.503351	0.1505891	0.61571825	-0.60890806	-1.6633538	-0.063449435	1	1	0.844282	-0.24953464	0.054983415	0.9109207	-0.031511854	0.5383408000000001	-0.32165578	-1.5978698	0.060855627	0.8415278	-0.24637670000000003	-0.24391566	-0.24391566	38	0.002375655574724078	-0.0014693528646603227	0.0046601472422480575	-0.0020288429223001003	-0.00437604496255517	5.357241225128317e-09	1.4149627864823502e-08	7.040902893889598e-07	0.004227027517904288	5.330177991492442e-07	1.1724280745961235e-05	9.814550554068914e-15	2.034984650267717e-05	2.588008211527946e-20	2.8470257799179126e-19	0.011901451884392152	0.023905191308624927	0.20818306972343426	0.03291932523824145	8.693191869669546e-07	1.4578655225870073e-11	0.0672960227461749	6.197552418284763e-24	6.197552418284763e-24	3.4531822761018126e-17	6.197552418284763e-24	0.00033267850683270665	6.226104435376557e-13	7.433435192172011e-06	0.00014372572381160802	3.9090694757780506e-11	1.3249589610505134e-17	4.522699901234352e-09	4.652300504358888e-05	0.11575937113208935	7.677255092299806e-07	0.05925451566707232	1.5495473772640653e-15	9.614453607131073e-08	6.461338191966112e-24	7.138331134170874e-07	1.2920854435944086e-11	2.758523143392291e-12	0.2888255077087609	0.001966213483762048	0.0004506231707343445	1.4023526801204579e-14	0.003512231825674184	1.0523913693258887e-11	0.05592490741397737	0.00010423983711429836	0.10599811041157046	0.00038315627292172797	0.01880652076018265	1.6370858715637688e-05
