well	gene	sirna	image_idx	object_idx	is_infected	cells_areashape_area	cells_areashape_eccentricity	cells_areashape_extent	cells_areashape_formfactor	cells_areashape_majoraxislength	cells_areashape_minoraxislength	cells_areashape_orientation	cells_areashape_perimeter	cells_children_bacteria_count	cells_children_invasomes_count	cells_location_center_x	cells_location_center_y	cells_neighbors_anglebetweenneighbors_2	cells_neighbors_firstclosestobjectnumber_2	cells_neighbors_firstclosestxvector_2	cells_neighbors_firstclosestyvector_2	cells_neighbors_numberofneighbors_2	cells_neighbors_percenttouching_2	cells_neighbors_secondclosestobjectnumber_2	cells_neighbors_secondclosestxvector_2	cells_neighbors_secondclosestyvector_2	cells_parent_nuclei	nuclei_areashape_area	nuclei_areashape_eccentricity	nuclei_areashape_extent	nuclei_areashape_formfactor	nuclei_areashape_majoraxislength	nuclei_areashape_minoraxislength	nuclei_areashape_orientation	nuclei_areashape_perimeter	nuclei_children_cells_count	nuclei_children_perinuclei_count	nuclei_location_center_x	nuclei_location_center_y	perinuclei_areashape_area	perinuclei_areashape_eccentricity	perinuclei_areashape_formfactor	perinuclei_areashape_majoraxislength	perinuclei_areashape_minoraxislength	perinuclei_areashape_orientation	perinuclei_areashape_perimeter	perinuclei_location_center_x	perinuclei_location_center_y	perinuclei_parent_expandednuclei	perinuclei_parent_nuclei	prediction	f_0	f_1	f_2	f_3	f_4	r_0	r_1	r_2	r_3	r_4	r_5	r_6	r_7	r_8	r_9	r_10	r_11	r_12	r_13	r_14	r_15	r_16	r_17	r_18	r_19	r_20	r_21	r_22	r_23	r_24	r_25	r_26	r_27	r_28	r_29	r_30	r_31	r_32	r_33	r_34	r_35	r_36	r_37	r_38	r_39	r_40	r_41	r_42	r_43	r_44	r_45	r_46	r_47	r_48	r_49
a04	none	si00577353	30	105	0	-0.86706996	0.7536170999999999	-0.51859814	0.7560928000000001	-0.6549028	-1.093906	-0.7172181	-0.96668524	0	0	0.24396652	-0.18471232	1.5083805000000001	0.23604731	1.0347142	-0.32270193	-1.0195191	-0.07155427	0.1042825	-0.844419	0.30197382	0.203656922780401	-0.16132747	0.7947948	-0.85977644	-0.19298407	0.24322539999999998	-0.47334750000000003	-0.9268284	-0.059256483	1	1	0.23184457	-0.19201998	0.30135736	0.5005429	0.39359286	0.17611867	-0.11532328	-0.92365044	0.07027436	0.23347598	-0.19242635	0.20365693	0.20365693	40	0.15936309099197388	0.6080606579780579	1.322248101234436	0.5849506258964539	-0.932903528213501	2.4428784730757436e-08	5.11677972661746e-11	0.0018635366227414802	2.6321720663297865e-12	5.903770829252221e-07	2.6341317732304503e-12	7.068311068603773e-10	0.0538139265827662	3.4625958416272962e-06	2.6321720663297865e-12	0.003350449554554648	1.0371358112139159e-08	0.08550136128790171	0.024092001502400564	2.6321720663297865e-12	0.00014543940633633974	0.06395669515004203	2.6321720663297865e-12	3.3834262503909034e-08	0.0014898145342702855	7.041516068958047e-06	0.001600677838134985	2.632172066363361e-12	3.5845115601823527e-12	2.6322029988261642e-12	0.0014008892090902525	2.6321720663297865e-12	4.801448368847009e-06	2.6354272456630567e-12	2.632172265131718e-12	0.0001306298473889295	0.022143334900237118	2.632179717764085e-12	4.5600906595161555e-08	9.593136835582156e-08	9.294920770962732e-05	2.97774908651926e-06	0.18488595595494292	0.0720405950655729	4.530208663064212e-08	0.3098861809749987	2.6321720663297865e-12	0.00016931343893576635	3.0418250627817723e-12	0.15251607929332678	0.003941028994193456	0.0023000887790934877	1.1108609464134587e-05	0.014636242125381674	1.257116908348578e-05
a01	ptk2	none	8	52	1	-0.71418536	-1.1376535	-0.38119125	-0.10282539	-0.96203834	-0.17985976	-0.6903085999999999	-0.60435194	0	3	0.845617	-0.34278733	-0.89756846	-0.64533573	0.6261486999999999	1.3706292	-1.5973815	-1.3140028	-0.51232284	1.9819638	-0.29584345	-0.674911479238001	0.7742363	0.5383313	-0.17170611	0.40066198	0.78795904	0.43043897	-1.2047398	0.44356966	1	1	0.8249458000000001	-0.32691535	0.75520414	0.37053379999999997	-0.10718692	0.8801879000000001	0.6133395	-1.169442	0.63836545	0.8253999	-0.3270046	-0.6749115	-0.6749115	40	-2.1368534564971924	0.4728295505046845	0.24258483946323395	0.6346231698989868	-0.4045605659484863	7.772530613548374e-08	1.9935842300078388e-12	0.00022802420094287368	1.993651487923518e-12	3.512694547647396e-05	1.7683292457032738e-11	3.3990197661743825e-11	0.00808795854856032	2.6733985092967152e-05	1.9935842087628817e-12	0.00015311201859121598	1.9935999092964222e-12	0.0006740752021662733	0.08482767569267086	1.9935842087628817e-12	0.005797603836451061	0.0021996418908284657	1.9935842087628817e-12	2.0571844349764497e-05	3.3303573744288003e-07	0.005157301563191887	0.11387812657755472	1.9935842087628817e-12	2.0028729723013734e-12	9.533240268977764e-11	0.007892824066511227	1.9935842087628817e-12	2.001133316127165e-12	1.6527674356601817e-09	2.8567573739028367e-09	0.0021831952622188124	5.258608534979013e-05	2.206881501486696e-11	3.717294322509752e-06	2.164386412689178e-07	8.462356753797531e-07	4.077578387054671e-06	0.20806072419249164	0.09311137844094326	5.765696114212061e-10	0.3676771356473727	1.9935842095336638e-12	2.5542688861106823e-10	6.332295811116761e-05	0.07542233057735878	0.005912347415969022	0.002898854969945084	0.0028147661558468404	0.0005631017684485884	0.01225220631294413
a06	none	si00577689	50	151	1	-0.32873959999999997	0.06766399	-0.43335947	-0.32499066	-0.24241748	0.0058824955	-0.052974757000000004	-0.18111797	0	1	0.7917692	0.38107562	0.5414266999999999	1.0509108	0.5770588000000001	-1.0416256	1.869793	0.36133468	1.070853	0.26470152	1.0101823	0.966187988683165	-0.14127967	0.70988005	0.51051396	0.16670956	0.20799333	-0.37480265	0.10916214	-0.16642985	1	1	0.7894124	0.35127512	-0.29080459999999997	0.47661445	-0.39755297	0.035876505	-0.20576568	-0.14466086	-0.061583117	0.78543365	0.3602093	0.9661879999999999	0.9661879999999999	40	0.19749179482460025	2.578474998474121	0.5742096900939941	-0.4445204436779022	-0.4920695722103119	0.008469821195542692	1.1376595626211623e-12	0.0005766644312234205	1.1362758786703445e-12	1.969664390357824e-12	1.1362758786701003e-12	4.325013984044789e-05	0.0025661295363622	0.003459002392985727	1.136275878670087e-12	0.05509242631270224	1.2690803854373655e-12	0.0007688312875488187	1.1665350177186592e-05	1.136275878670087e-12	0.009606846893739036	0.004734672611090403	1.136275878670087e-12	1.2928297686660808e-10	0.010425544761637187	3.1350860956118213e-10	0.0006013401557100925	1.1363418717744137e-12	5.008601017483095e-07	1.552739441645843e-09	7.358600512471499e-10	1.136275878670087e-12	1.1364696884889873e-09	1.136275878670087e-12	1.136275878670087e-12	1.0678803170827192e-10	0.1283593027897698	1.136275878670087e-12	1.136761469430902e-12	1.1362759249621338e-12	0.0005142670522634809	1.7375939457860355e-09	0.045020061053913873	0.0005193354658398349	1.9817950639472237e-11	0.6868229904702174	1.136275878670087e-12	1.0773995111705113e-05	5.345146598739429e-10	0.005701262390228133	0.0001000082883254531	0.0009486337060723123	0.0007101064631089832	0.0349365560863925	2.4371331641383764e-11
b08	none	si00391398	287	179	0	-0.5560085	-0.42114773	0.63816476	1.0410724	-0.70844465	-0.19526455	-1.2439761	-0.7713503	0	0	1.6017603	0.84046584	0.2134282	1.3169888	-0.7243831999999999	0.6839609999999999	0.13620575	0.7135189000000001	1.3708231000000002	-0.27490112	-1.3319413999999998	1.43033733314572	0.6907038000000001	-0.91285735	1.0083222	1.1596948999999999	0.0025804834	1.1338902	1.1193563	0.1321546	1	1	1.6052520000000001	0.83573204	0.44831726	-0.8707449	0.2066555	0.18969384	1.035498	1.1841083000000001	0.26235455	1.6044472	0.8364763000000001	1.4303373	1.4303373	40	0.030488856136798862	4.442178249359131	-2.4695019721984863	-1.0596874952316284	-1.8224239349365237	2.3847834427922188e-06	9.633584621596453e-12	6.1705227458902395e-06	9.633584621596458e-12	9.633584625331821e-12	9.633584621596453e-12	0.07200606558340719	2.811753835217349e-05	0.0009085227906554946	9.633584621596453e-12	0.07148931495394631	9.63358462162465e-12	0.09893381083633823	3.984275271047279e-11	9.633584621596453e-12	4.428362536000341e-11	9.570939006265863e-08	9.633584621596453e-12	5.791762251839613e-10	0.005048763700496232	9.775519854554063e-12	0.00033477532362761325	4.919297416641492e-08	0.0026959998038954547	9.571583545564884e-07	9.6338042870476e-12	9.633584621596453e-12	9.634705739695695e-12	9.633584621596453e-12	9.633584621596453e-12	9.63358462501444e-12	9.32372366315136e-10	9.633584621596453e-12	9.633584621596453e-12	9.633584621596453e-12	1.5150306640869885e-06	9.633627182063461e-12	1.5196902801477694e-10	9.634293030986105e-12	9.633584621596453e-12	0.7025612516946348	9.633584621596453e-12	2.7564341601911684e-05	0.04549418623889664	2.446920033464664e-07	1.4730786413756422e-06	8.703961830473386e-09	0.00043623522102992634	2.249113157876949e-05	9.634128456004435e-12
a22	none	si00583205	194	157	0	-0.79738986	0.9815789	-0.85329133	0.31494772	-0.39610645	-1.1738587999999999	0.6302999	-0.8016293000000001	0	0	1.3343272	0.30744475	1.0818118	1.0176512	-0.6644245	-0.48682386	0.7140681999999999	0.7135189000000001	1.1541780000000001	0.4231702	0.66222143	1.06564856249657	-0.55560076	0.8275142	1.0347450999999999	0.3681457	-0.15277392	-0.8737164000000001	0.19035216	-0.5797767	1	1	1.3139752	0.32212272	-0.1957129	0.50083935	0.80059373	-0.24853659	-0.46475340000000004	0.3089166	-0.47463396	1.3158094	0.32306764	1.0656486	1.0656486	40	2.0139906406402592	2.6770026683807373	0.5322067141532898	-0.409635066986084	-0.19452236592769626	0.034752355077245965	1.759261767360847e-12	0.005808116382243782	1.6426323186366982e-12	2.5535570075740294e-12	1.6426323186383568e-12	1.7533625754332004e-05	0.002625962459125653	0.0026990538692833787	1.6426323186366982e-12	0.040298229885139064	5.971743267141677e-08	0.009561961273570096	4.047661073106383e-06	1.6426323186366982e-12	0.007334539526963301	0.004984828632899954	1.6426323186366982e-12	1.6964334494933438e-12	0.002491045639807445	1.6426325351493131e-12	2.5053306446403423e-06	1.6427245748005032e-12	1.769786337588891e-08	2.8645081337797167e-06	3.722323534569455e-12	1.6426323186366982e-12	5.403068197392724e-05	1.6426323186366982e-12	1.6426323186366982e-12	1.759883980077961e-12	0.20180421339016885	1.6426323186366982e-12	1.6431113374402613e-12	1.6426323212595656e-12	0.037736626287445896	2.591192389468106e-10	0.03351339317230486	0.00019405367354951723	1.6426323186369373e-12	0.5257439601704388	1.6426323186366982e-12	0.000304713282063554	5.0652191904720115e-12	0.016104888355046417	2.888584002945001e-05	0.00064855126514811	0.032270272218996615	0.0410132900734609	1.876280546034213e-12
a07	none	si00574497	58	200	0	-0.9073492	-0.2996178	-0.13067575	0.3148336	-1.0634128	-0.7133166	-1.58607	-0.90594923	0	0	1.3336465	0.45581168	-0.99692595	1.6495862000000001	-0.9781460999999999	-0.3823228	0.13620575	0.7135189000000001	1.8207784	0.010585002	-1.0203879999999999	1.77844934149263	-0.6859115	1.0452058000000002	1.1848571	-0.2784178	0.015465159	-1.0789133	1.6482146	-0.49759369999999997	1	1	1.3184528	0.43988950000000004	-0.45937625	0.98792994	0.14851356	-0.14069185	-0.9246978000000001	1.7028077000000001	-0.43831876	1.3249938	0.44056007	1.7784493000000001	1.7784493000000001	40	2.652939319610596	3.542236804962158	1.0833879709243774	-0.6621148586273193	-0.8011481761932373	0.03253549590703858	2.4718283503668456e-12	0.0013987361979025266	2.471828338106907e-12	2.471952729988128e-12	2.471828338106907e-12	0.0004744261562249324	0.008580470039987865	0.00019658529650692908	2.471828338106907e-12	0.1230488273923123	2.555522791318813e-09	0.01509649322762094	1.0715965672982869e-08	2.471828338106907e-12	0.00040133754868742203	0.00037020181446004993	2.471828338106907e-12	2.4718553064661767e-12	0.0003838098780765064	2.4718283381069137e-12	4.608942023045284e-08	2.4718327683856303e-12	4.242428693178688e-06	1.770049878898793e-10	2.4733911374802277e-12	2.471828338106907e-12	0.00016745813413066265	2.471828338106907e-12	2.471828338106907e-12	2.4718355608537203e-12	0.04489366608217181	2.471828338106907e-12	2.4718283425789627e-12	2.471828338106919e-12	0.002724853580974508	2.5162667678572485e-12	0.0007721703084801586	2.671625340357737e-07	2.471828338106907e-12	0.7359985237738766	2.471828338106907e-12	0.009734200251037058	2.4718344602308103e-12	0.0016490124188019105	3.8142892048469003e-08	5.681047826075941e-05	0.00010086594458034576	0.021411448239937292	2.471828338955481e-12
b07	none	si00499625	276	191	0	-0.07765599999999999	1.1888338	-0.44155473	-0.21925892	0.7663831999999999	-0.77274084	0.53779364	-0.02556477	0	0	1.3332443999999999	0.5950941999999999	1.5472462	1.6828459999999998	0.046444457	0.98604435	1.869793	0.48082587	1.6541283	-0.040414225	-1.0217485	1.62925848077253	0.28974792	-0.030648118	0.32685488	0.9090558000000001	0.046112977	0.3927277	0.89500654	-0.07070319	1	1	1.3140041	0.600537	0.35322556	-0.3162296	0.42663670000000004	0.1061634	0.5657616	0.89137167	0.09572195	1.3146783000000002	0.601113	1.6292585	1.6292585	40	-0.1337122917175293	4.389939785003662	-0.6238956451416016	-1.0445958375930786	-0.12478982657194138	0.0027443040544397426	5.912412892635727e-12	5.327001938595521e-05	5.91241289260271e-12	5.912877805443727e-12	5.912412892588295e-12	0.003974371996408443	2.69847846867652e-06	4.9724233589247134e-05	5.912412892588295e-12	0.03540124457236715	5.912412973058349e-12	2.2281833082399695e-05	6.518729718993853e-08	5.912412892588295e-12	0.0721732379242914	0.00014557945643528303	5.912412892588295e-12	6.448582718430467e-12	0.0013152887650180144	4.273057566727545e-11	0.002370389369455271	1.48429944975881e-11	0.00013277134711820268	0.000314344372327845	5.9124262029377904e-12	5.912412892588295e-12	5.928706814080262e-12	5.912412892588295e-12	5.912412892588295e-12	5.9124129013083524e-12	0.13040601324603188	5.912412892588295e-12	5.912412894490349e-12	5.912412892588295e-12	0.0002929121236553074	5.935801889665289e-12	7.704017170012612e-05	1.5698350078102352e-08	5.912506735564719e-12	0.7179038590883722	5.912412892588295e-12	2.787365277016231e-07	7.89139349614759e-05	1.3977465641175214e-05	1.1642849821981057e-06	0.00012999410989640917	0.014472967472939538	0.017923291869033933	5.912413699435086e-12
a04	none	si00577353	34	147	1	-0.25141528	0.45799673	-0.34328252	-0.023741327000000003	-0.07087286599999999	-0.20748821	-1.7313942	-0.23711832	0	1	1.1094058999999998	-0.36658782	0.8046005999999999	0.75157326	-1.4157879999999998	-0.02127498	0.7140681999999999	0.7135189000000001	1.054188	1.0109903	-0.63924813	0.8998809394742291	0.13604815	0.95368755	-1.5563687	-0.76379544	0.77961296	-0.28347126	-1.0607482	0.41547656	1	1	1.1052252	-0.33762902	0.54773134	0.8258459	-0.040324997	0.69202	-0.09217653	-1.0785328	0.4499527	1.1088351	-0.3384368	0.89988095	0.89988095	40	-0.8885051608085632	3.222916603088379	2.1191115379333496	0.6534541249275208	-0.7104822397232056	0.016056430462219155	6.30880045693075e-12	1.0032417300864418e-05	6.308800456930746e-12	1.4023849460460599e-06	6.31328405159117e-12	1.0360662745311637e-11	0.2980199757407876	0.0004320170038519753	6.308800456930746e-12	0.0003275263312098332	6.308801793409293e-12	0.00012909691581316455	0.010232198300954582	6.308800456930746e-12	2.2295010831094082e-08	0.08056584142321924	6.308800456930746e-12	6.3105192695020144e-12	0.0010335169621972092	5.017365681549484e-06	0.011571447985521871	6.308800456930746e-12	6.328152995388878e-12	6.309229282752992e-12	3.999022532280602e-10	6.308800456930746e-12	1.3750451335561409e-11	6.308800456930746e-12	6.308800456944678e-12	6.30882449926376e-12	0.0025144036920323426	6.308800456930746e-12	1.1281874373357595e-06	6.3536372684956894e-12	1.406019787030354e-05	6.5205070705495534e-12	0.01088414240874383	0.0024692340721478795	0.0018461082546062308	0.3141440359709873	6.308800456930746e-12	2.3940319875341768e-05	6.308826046812732e-12	3.932588787271282e-06	1.0918290378068286e-09	0.2345599453016121	6.856684256972659e-10	0.015154541082354488	6.8624032504617976e-12
a03	msl1	si00498785	23	70	0	1.3868023999999999	0.320327	0.94478893	0.5689719	1.0224834999999999	1.0979555	-1.5194356000000002	0.5306498000000001	0	0	-0.28568253	-0.09760273	0.85510343	-0.29610848	1.8480048999999998	-1.2681286	1.2919306000000002	0.69070107	-0.44566279999999997	-0.7725725999999999	1.664318	-0.37652975779778897	0.56039315	0.5299626000000001	0.7993037	0.47431505	0.61400634	0.27539736	1.5921234	0.26599559999999994	1	1	-0.29694232	-0.113521256	0.6990135999999999	0.05443829	0.18585905	0.5247388000000001	0.63118	1.5501113000000002	0.45932582	-0.29749468	-0.11234638	-0.37652975	-0.37652975	40	-3.3130862712860107	0.4646304845809937	-0.7604493498802185	0.4506465196609497	-0.7678135633468628	5.419902394060738e-08	3.646779011911628e-12	0.00019046335382699023	3.649340177219252e-12	3.1604072571789465e-06	3.8366791233026776e-12	5.608651563173756e-09	0.007270266206432735	6.6876642858214105e-06	3.646779011911628e-12	0.00017867427450596354	3.646779011914101e-12	0.0008788917575356102	0.03481188744328659	3.646779011911628e-12	0.00046276032992079885	4.615767279824191e-06	3.646779011911628e-12	0.0018219214053566348	7.923675730413235e-07	3.680976292920876e-09	0.28205010477536896	3.646779011911628e-12	1.3753901351053766e-11	2.3332191631311813e-10	0.016567089552814666	3.646779011911628e-12	3.646779015245922e-12	1.8681016095198448e-06	5.257361409176658e-06	0.004554752905921885	0.0014783683730843179	2.7142276463094503e-08	1.6434374081243013e-07	2.9014755400617845e-08	3.0147273862254447e-09	1.947832007709414e-05	0.01699331630307186	0.044510160188422666	3.647162866028698e-12	0.3126788941036417	3.646823224538112e-12	5.468795092265699e-11	0.16296558851313026	0.03376243774541026	0.0031607602426671076	0.0006909217286510561	0.005615077045590809	2.3264047343363167e-05	0.06929225236465432
a05	none	si00408485	45	314	0	-1.2166466	0.22673692	-0.46936506	0.86003244	-1.3693558000000001	-1.3664527	-0.6774446999999999	-1.3361151000000002	0	0	1.5361235	0.6472061	0.83603066	3.7948394	0.57059455	-0.5004833	0.7140681999999999	0.7135189000000001	3.5706043	-0.20491506	0.6463153	3.66820024394731	-0.7093005	0.19336525	-1.2553834	0.27199614	-0.67141294	-0.6073358	-0.62683713	-0.6889629	1	1	1.5282314	0.65467846	-1.0083147	0.8625788000000001	-0.38406825	-0.39595288	-0.96576583	-0.56623346	-0.71127075	1.5310977	0.6445088999999999	3.6682002999999996	3.6682002999999996	40	4.568297386169434	6.208494186401367	1.2489221096038818	-0.6042307019233704	-1.303929328918457	0.00041599032780583367	6.846069630495948e-11	0.0015563631233674667	6.846069630495948e-11	6.846069678990147e-11	6.846069630495948e-11	0.00012328913249793448	0.009535811545562442	1.4693527642456286e-08	6.846069630495948e-11	0.007525097610709859	9.55542247873368e-10	0.05294490815439793	7.053924490145559e-11	6.846069630495948e-11	4.821495217850463e-07	1.1114551988004165e-07	6.846069630495948e-11	6.846069630495948e-11	6.928393434813229e-11	6.846069630495948e-11	6.957868981481975e-11	6.846069630496216e-11	4.90709641206194e-07	1.025879723059337e-09	6.846069630495948e-11	6.846069630495948e-11	0.00020753149151984097	6.846069630495948e-11	6.846069630495948e-11	6.846069630495948e-11	7.50065155248207e-11	6.846069630495948e-11	6.846069630496224e-11	6.846069630495948e-11	1.1521987992573449e-06	6.846069630495948e-11	2.140905709164773e-09	6.846072558927746e-11	6.846069630495948e-11	0.927156984277048	6.846069630495948e-11	3.1484333826530437e-05	6.846069630495985e-11	9.447183639625787e-10	6.846069648015653e-11	1.1442510759300984e-06	1.858006999995461e-06	0.0004972797852066936	6.846069630495948e-11
