well	gene	sirna	image_idx	object_idx	is_infected	cells_areashape_area	cells_areashape_eccentricity	cells_areashape_extent	cells_areashape_formfactor	cells_areashape_majoraxislength	cells_areashape_minoraxislength	cells_areashape_orientation	cells_areashape_perimeter	cells_children_bacteria_count	cells_children_invasomes_count	cells_location_center_x	cells_location_center_y	cells_neighbors_anglebetweenneighbors_2	cells_neighbors_firstclosestobjectnumber_2	cells_neighbors_firstclosestxvector_2	cells_neighbors_firstclosestyvector_2	cells_neighbors_numberofneighbors_2	cells_neighbors_percenttouching_2	cells_neighbors_secondclosestobjectnumber_2	cells_neighbors_secondclosestxvector_2	cells_neighbors_secondclosestyvector_2	cells_parent_nuclei	nuclei_areashape_area	nuclei_areashape_eccentricity	nuclei_areashape_extent	nuclei_areashape_formfactor	nuclei_areashape_majoraxislength	nuclei_areashape_minoraxislength	nuclei_areashape_orientation	nuclei_areashape_perimeter	nuclei_children_cells_count	nuclei_children_perinuclei_count	nuclei_location_center_x	nuclei_location_center_y	perinuclei_areashape_area	perinuclei_areashape_eccentricity	perinuclei_areashape_formfactor	perinuclei_areashape_majoraxislength	perinuclei_areashape_minoraxislength	perinuclei_areashape_orientation	perinuclei_areashape_perimeter	perinuclei_location_center_x	perinuclei_location_center_y	perinuclei_parent_expandednuclei	perinuclei_parent_nuclei	prediction	f_0	f_1	f_2	f_3	f_4
a04	none	si00577353	32	65	1	0.2877971	0.27007553	-0.27209285	0.06065016	0.22558040000000001	0.31689885	1.0550331	0.11519171	0	2	-0.38321808	-1.2834134	1.1914468	-0.27947864	1.4005787	0.11742431	1.2919306000000002	0.7135189000000001	-0.61231285	-1.1847767	-0.45572186	-0.45941356930895894	-0.4085836	1.1436048	-0.81554526	-0.812639	0.4682517	-0.9033201999999999	0.23983078	-0.045041986	1	1	-0.37971345	-1.2132015	0.3402585	0.7816549	0.3784186	0.24200624	-0.3823725	0.21600752	0.106226824	-0.37809294	-1.211658	-0.45941356	-0.45941356	69	0.011573610827326776	0.0010853775311261415	0.008323593996465206	0.0037480834871530533	-0.004068399779498577
a01	ptk2	none	4	62	1	-0.5483643	0.6856093000000001	0.9315234	0.35170203	-0.30712935	-0.70366126	1.3079473	-0.5953825	0	1	-0.044771	-1.5953301000000002	-0.13971522	-0.41251758	0.8306829	0.47934645	-0.44165668	0.7135189000000001	-0.6289779000000001	-1.0482423	1.0044662	-0.509143856215661	-0.3851945	0.9358898000000001	-1.0995768	-0.4151657	0.18350458	-0.75414836	0.79197043	-0.17406110000000002	1	1	-0.038276073	-1.5428598	-0.47666565	1.0766295	-0.4125038	0.20005354	-0.79434043	1.068866	-0.21589991	-0.04638797	-1.5456413	-0.5091438	-0.5091438	69	0.015738150104880333	0.008291596546769142	0.009100391529500484	0.002142304787412286	-0.005037001334130764
a02	abl2	none	18	60	1	-0.9520386000000001	0.6909267	-0.96348786	0.25721055	-0.75715864	-1.118026	-1.2296163999999998	-0.93650776	0	3	-0.83529127	-0.71978277	1.5605643	-0.64533573	-0.68900657	0.5536998000000001	0.13620575	0.7135189000000001	-0.51232284	0.64143413	-0.5273114999999999	-0.542297380820129	0.22292194	1.3493326	-0.8834779	-1.2229785	1.3003018999999998	-0.76777416	-1.2879285	0.7011881999999999	1	1	-0.83185595	-0.7162857	0.96267694	1.1813738	-0.14443475	1.2195358	-0.23633046	-1.2877519	0.8106131999999999	-0.8319848	-0.7157256999999999	-0.54229736	-0.54229736	69	0.006359689403325318	0.007701541762799025	0.01759975589811802	0.006445977836847304	-0.005389001686125994
a05	none	si00408485	41	61	1	-0.638037	0.6996230999999999	0.5727376000000001	0.6531861999999999	-0.38916227	-0.79487807	0.14751977	-0.74730486	0	1	-0.9345544	-0.80810595	1.1249216	-0.49566692	0.18593232	0.8797454	0.7140681999999999	0.68797445	-0.42899778	0.11332467	-0.97672695	-0.5257206185178951	-0.33173373	1.3873507999999999	0.064831525	-0.6940084	0.87375623	-1.1587247999999999	0.16549851	-0.02114183	1	1	-0.9391174999999999	-0.7991395	0.31000206	1.0732780000000002	0.22401406	0.47772273	-0.59098953	0.13646854	0.14924334	-0.9395258	-0.8027539	-0.5257206	-0.5257206	69	0.007375120650976895	0.009483716450631618	0.012185984291136265	0.006029614247381686	-0.0018961067544296386
a05	none	si00408485	40	70	0	-0.68772453	0.3273419	-0.20728599	0.08420695	-0.7024845000000001	-0.7254925999999999	0.42769113	-0.63778585	0	0	-0.29251279999999996	-1.5513153	-0.5238826	-0.32936823	0.53348815	-0.84930134	-0.44165668	0.43253115	-0.24568269	0.7489366999999999	0.47766697	-0.37652975779778897	0.025785286	0.8676796999999998	-1.1440927	-1.0115755	0.5017353	-0.36591983	0.6209215	0.43036157	1	1	-0.28462958	-1.5640059	0.6039219	0.62559587	-0.12119533	0.46028155	-0.02455958	0.59179217	0.53086936	-0.28502104	-1.5622219	-0.37652975	-0.37652975	69	0.014568262733519076	0.004476618953049183	0.011503941379487514	0.003085095435380936	-0.003359960159286857
a01	ptk2	none	3	39	1	-0.6503854	-0.7100269	0.2653578	0.5726846999999999	-0.8975714	-0.28434664	-0.9918726000000001	-0.73785925	0	1	-0.56736296	-1.5046374	-0.007961177	-0.86152405	0.5843126999999999	-0.8829056999999999	-0.44165668	0.7135189000000001	-1.0122731	-0.8971388000000001	-0.18355033	-0.8904093891670429	0.8510861999999999	0.8405659	0.017744265	-1.296115	1.273522	0.35628074	-1.6593741999999998	1.2581040000000001	1	1	-0.57419217	-1.54942	0.080917515	0.80431515	-1.62365	0.76940185	-0.00438315	-1.0893631000000001	0.9138987	-0.5774845999999999	-1.5296421	-0.8904094000000001	-0.8904094000000001	69	0.013747917488217354	0.007496684789657594	0.01905820146203041	0.007993320934474468	0.00140054477378726
a04	none	si00577353	30	29	1	-0.08265415	0.8214334999999999	0.15960646	0.02356498	0.37769443	-0.2980966	-1.6570473000000001	-0.12751703	0	2	-1.020846	-0.6186906999999999	1.1403091	-1.1608617	-1.0321529	-0.510949	0.13620575	0.7135189000000001	-0.87895304	1.1801249	0.16922629	-1.0561770121893799	-0.69259405	1.1313516000000001	0.15315245	-1.7622117	0.277652	-1.0272815	1.6939102	0.08670237	1	1	-1.0552952	-0.60075665	-1.0774723	1.4899088	-2.2946126000000002	0.29317659999999995	-1.3699257	1.6310856000000002	0.18664537	-1.0460421999999998	-0.5974406	-1.0561770000000001	-1.0561770000000001	69	0.005795788485556841	0.009916048496961594	0.013334076851606369	0.009830387309193613	-0.01083790510892868
a16	unknown	si00582085	140	69	0	-0.85971975	1.4677526	1.1590723	-0.4567314	0.5656224	-1.7711047	0.034961626	-0.63098747	0	0	-0.7769539000000001	-1.6881953	-2.5684402000000004	-0.36262798	0.29576328	0.46857139999999997	-0.44165668	0.6930943	-0.31234270000000003	0.5888095999999999	1.0055264000000002	-0.39310652010002295	0.5336628000000001	1.5033584999999998	2.4379797	-1.2950236000000002	2.0519397	-0.73563117	-0.032064028	1.0004016	1	1	-0.68295556	-1.6914417000000002	-2.1796715	2.026985	-4.469536	1.9169538000000002	-1.7763776999999998	0.09403661	0.42771998	-0.7071269	-1.6866732	-0.39310652	-0.39310652	69	0.017007919028401375	0.013230525888502598	0.023338023573160168	0.005225504748523235	-0.014371150173246859
b02	abl2	none	230	38	0	-0.8314949	0.7932553000000001	-1.3517581	-0.84990513	-0.5522068	-1.0505426000000002	-0.20352864	-0.4412894	0	0	0.68486625	-1.2858530000000001	1.3255461000000002	-0.92804354	-0.44385810000000003	1.1029391000000002	0.7140681999999999	0.18125142	-0.87895304	0.5501140999999999	-0.89299434	-0.906986151469277	0.025785286	1.4867489999999999	0.7655831999999999	-0.68898654	1.3825703	-1.1020662	-0.19091333	0.2906085	1	1	0.6846057	-1.2927525	0.74655944	1.1257508999999999	0.19546449999999999	0.9280659	-0.34981123	-0.24016447	0.49002585	0.6847658000000001	-1.2940003	-0.9069862	-0.9069862	69	0.012027490884065628	0.0008103568688966334	0.009272782132029532	0.001838316326029599	-0.008878123015165329
a21	bmp8a	si00395122	187	14	0	0.08728301	0.77749217	-1.1297596	-0.46883404	0.9193665000000001	0.24377556	0.5674359	0.21654731	0	0	-1.4816388	-1.6252295	-0.16512579	-1.2939006000000002	0.58942705	0.7639262	-0.44165668	0.70170236	-1.4955584	-1.2918502	0.5347638000000001	-1.30482844672289	0.6940451	1.3887397	-1.7965563999999998	-1.6889127	1.9430057	-0.43991858	0.5059095	1.3562624	1	1	-1.425088	-1.6597586	0.9324205	1.3590355	-0.8607800999999999	1.7973936999999998	-0.17165664	0.41145197	1.1686026000000003	-1.4235954	-1.6569911	-1.3048283999999999	-1.3048283999999999	69	0.016330966725945473	2.5725763407535848e-05	0.0202958881855011	0.014509315602481362	-0.012185096740722656
