well	gene	sirna	image_idx	object_idx	is_infected	cells_areashape_area	cells_areashape_eccentricity	cells_areashape_extent	cells_areashape_formfactor	cells_areashape_majoraxislength	cells_areashape_minoraxislength	cells_areashape_orientation	cells_areashape_perimeter	cells_children_bacteria_count	cells_children_invasomes_count	cells_location_center_x	cells_location_center_y	cells_neighbors_anglebetweenneighbors_2	cells_neighbors_firstclosestobjectnumber_2	cells_neighbors_firstclosestxvector_2	cells_neighbors_firstclosestyvector_2	cells_neighbors_numberofneighbors_2	cells_neighbors_percenttouching_2	cells_neighbors_secondclosestobjectnumber_2	cells_neighbors_secondclosestxvector_2	cells_neighbors_secondclosestyvector_2	cells_parent_nuclei	nuclei_areashape_area	nuclei_areashape_eccentricity	nuclei_areashape_extent	nuclei_areashape_formfactor	nuclei_areashape_majoraxislength	nuclei_areashape_minoraxislength	nuclei_areashape_orientation	nuclei_areashape_perimeter	nuclei_children_cells_count	nuclei_children_perinuclei_count	nuclei_location_center_x	nuclei_location_center_y	perinuclei_areashape_area	perinuclei_areashape_eccentricity	perinuclei_areashape_formfactor	perinuclei_areashape_majoraxislength	perinuclei_areashape_minoraxislength	perinuclei_areashape_orientation	perinuclei_areashape_perimeter	perinuclei_location_center_x	perinuclei_location_center_y	perinuclei_parent_expandednuclei	perinuclei_parent_nuclei	prediction	f_0	f_1	f_2	f_3	f_4
b15	none	si00520933	348	17	0	-0.8897086999999999	-2.7229259999999997	0.008114003	-0.2557784	-1.2929058999999998	-0.23974608	-1.3760005	-0.7305020999999999	0	0	-1.3422798	-1.2529343000000002	1.2302688	-1.1608617	1.0381159	0.17832811	-0.44165668	0.58369774	-1.3289082	-0.8604976999999999	-0.38898453	-1.25509815981619	-0.7794678	-1.2752860000000001	0.95212114	0.5638095000000001	-1.1470245000000001	-0.112921916	0.5667892	-0.83395725	1	1	-1.3313626	-1.2528541000000002	-0.42911980000000005	-1.0907444	1.1811832	-1.0867441999999998	-0.12963766	0.9087386999999999	-0.7933191999999999	-1.3339863	-1.2532563	-1.2550981	-1.2550981	35	0.5190216898918152	-3.5227084159851074	-3.1165404319763184	2.231973171234131	-0.3542745113372803
a01	ptk2	none	9	8	1	0.43186149999999995	0.48808789999999996	0.1810864	-0.3775992	0.403535	0.22745398	1.0675348	0.4173159000000001	0	1	-1.502976	-1.5307513000000001	1.4600806999999998	-1.4934591	-1.1413225	-0.53884965	-0.44165668	-0.0073448485	-1.3122432	0.95439905	0.55084664	-1.4042890205363	-0.7560786999999999	-1.6099417	0.38243878	0.80658275	-1.2035612	-0.02761057	1.5890309	-0.8766001	1	1	-1.5107888	-1.5029370000000002	-0.34699515	-2.0573206	1.3177813999999999	-1.2032614	0.1173379	1.5981742	-0.7745729	-1.5130689	-1.5053926000000002	-1.404289	-1.404289	35	-0.923272967338562	-3.712824583053589	-2.9647829532623287	2.1233899593353267	1.6204792261123655
a06	none	si00577689	50	48	0	-0.043550964000000005	-1.5453246	1.1149215000000001	1.064706	-0.55546755	0.591776	0.63502896	-0.42486757	0	0	-0.8418037	-1.5941703	0.04323991	-0.6619656	0.43173534	1.3363261999999998	0.7140681999999999	-0.04982239	-0.8456229999999999	-1.3959533000000002	-0.15939471	-0.741218528446937	-0.5622834	-0.14771667	0.27223590000000003	0.78889185	-0.68445295	-0.30610177	-1.0635203000000002	-0.7035545999999999	1	1	-0.8770104999999999	-1.6237866	-0.41615275	-0.23761997	0.685747	-0.65562403	-0.2023324	-1.1812143	-0.6086644	-0.8753860000000001	-1.6247757999999999	-0.7412185	-0.7412185	35	-0.08072338253259659	-1.9069081544876096	-1.9162601232528689	2.959724903106689	-0.2479728907346725
a05	none	si00408485	41	52	1	-0.77504516	-0.4959115	0.8980437	1.0986871999999999	-1.0462319	-0.58866245	1.4114299	-0.9556081	0	1	-1.0980662	-0.62348765	-1.2183902	-0.69522536	-0.45388156	-0.963045	0.7140681999999999	0.119441025	-0.828958	-1.0392779	-0.09015447	-0.674911479238001	-0.47875088	-0.021089025	0.89383775	0.8046502	-0.57502	-0.29821467	1.6672361	-0.6373468000000001	1	1	-1.1143836999999999	-0.6348222	-0.41615275	-1.090058	0.7805462	-0.87903404	0.08141807	1.489183	-0.6431687	-1.1131088	-0.62916017	-0.6749115	-0.6749115	35	0.473477452993393	-2.2069427967071533	-2.1047391891479488	1.3708902597427368	-1.1895297765731812
a01	ptk2	none	8	19	1	0.09433922	0.35694006	-0.69528764	-0.3383058	0.14779195	0.13373262	0.6802026	0.1573349	0	1	-0.8912372	-1.1584348999999998	-1.5658501	-1.1941215	1.0704519	0.53822684	-1.5973815	-0.31315112	-1.1289281999999998	2.0078886000000002	-0.6700126000000001	-1.22194463521172	-0.06777109	-4.1588964	0.8991515999999999	1.2341613999999999	-0.9661733	1.0263665000000002	-0.7857906	-0.42824129999999994	1	1	-0.867733	-1.1358648999999998	0.093884565	-3.106934	0.9162860999999999	-0.7536155	0.8699665999999999	0.9490591	-0.29450685	-0.86800796	-1.1368525	-1.2219447	-1.2219447	35	-1.695954442024231	-2.70566463470459	-4.73720645904541	1.3037923574447632	1.681766152381897
b05	none	si00584073	256	45	0	-0.26993784	-1.7743235000000002	0.7916025999999999	1.0255573	-0.73823386	0.40152445	-0.33535787	-0.5633640999999999	0	0	0.15050282	-1.6278081	-0.3166427	-0.8781539	-1.1150937	0.5045939	-1.0195191	0.7135189000000001	-0.6289779000000001	0.7248559	1.12317	-0.7909488153536389	-0.29832074	-1.0794293	0.4177077	0.7693485999999999	-0.7511168	0.29055038	1.5827278	-0.4791866	1	1	0.12899227	-1.6060477	-0.044430635999999996	-1.5133743999999998	0.77064407	-0.73080134	0.427392	1.5567870000000001	-0.34540272	0.12912993	-1.6083791	-0.7909488	-0.7909488	35	-0.18987642228603366	-0.7961490154266357	-3.0566155910491943	3.002636432647705	-0.12341158837080002
a09	none	si00574805	78	27	0	-0.69742686	-1.1262819	-0.046431303	-0.30467787	-0.98295856	-0.21462779	1.0343245	-0.51997685	0	0	-0.6438868000000001	-0.9083486999999999	1.4899136999999998	-1.0278227	1.1777313	0.6619802	-1.0195191	-0.71397245	-1.1789231000000002	-1.1215333	-0.557347	-1.08933053679385	-0.20810565	0.18250185	0.93176323	0.8892761999999999	-0.255452	-0.15938383	-1.3893275	-0.44107193	1	1	-0.6242681999999999	-0.89997333	-0.1611341	-0.28789696	0.47840756	-0.35568336	0.112590045	-1.4990312	-0.32448277	-0.6272658	-0.9034946	-1.0893306	-1.0893306	35	-0.5155752301216125	-2.3306348323822017	-1.299533486366272	1.4749590158462524	0.08313081413507463
a06	none	si00577689	51	25	1	-0.28610834	-1.7768021	2.090593	0.85304326	-0.7707793000000001	0.35194898	-1.0648872	-0.5317076	0	1	-1.3529346000000002	-1.6141393999999998	-0.5523363	-0.994563	1.3463738	-0.042919636	-0.44165668	0.7135189000000001	-1.1955882	0.062602796	1.2195415	-1.12248406139832	-0.27493164	-0.0048111626	0.46116763	0.95052147	-0.39750555	-0.11944265	0.62283164	-0.51109517	1	1	-1.3145151000000002	-1.5995692	-0.5717573	-0.65034854	0.30078715	-0.68872803	0.033340987	1.1540991000000003	-0.59335965	-1.3228773999999999	-1.597935	-1.1224841	-1.1224841	35	-0.4884509444236755	-2.906855821609497	-2.1857922077178955	3.2675156593322754	-1.123128890991211
a24	abl2	none	212	65	0	-0.5189634	-0.7027576999999999	0.38953418	0.1265226	-0.78641623	-0.1382804	1.251809	-0.5040312	0	0	-0.26970109999999997	-1.5532409	0.26769778	-0.3459981	1.0474639000000001	-0.35489452	0.13620575	0.6127001	-0.4789928	-0.7513149	-0.5770685999999999	-0.45941356930895894	-0.12791447	-1.8209790000000001	1.3564681	0.9773639000000001	-0.75906134	0.6748928000000001	-1.1520546999999999	-0.40325093	1	1	-0.25486620000000004	-1.5852416999999999	-0.035785936000000004	-1.4321893	0.60675615	-0.5756478	0.5548598000000001	-1.1212561	-0.27576128	-0.25591385	-1.5847893999999998	-0.45941356	-0.45941356	35	-0.2808934450149536	-0.7272083163261414	-3.3682117462158203	2.583315372467041	-0.022741859778761864
a01	ptk2	none	4	29	1	-0.274936	-0.054159895	0.55996245	0.8862234	-0.43669128	-0.11640031	-1.342192	-0.53237414	0	1	-0.82609546	-1.120895	-1.1335886	-1.0111929	0.7289763000000001	-0.96559477	0.7140681999999999	0.7135189000000001	-0.96227807	1.085898	0.20804174	-1.0561770121893799	-0.24485995	-1.290253	0.6269889	1.1221892	-0.7660395999999999	0.39430916	-1.5962273	-0.5339891999999999	1	1	-0.80489784	-1.1192847	-0.053075335999999994	-1.6554191000000003	0.9000147	-0.7174001999999999	0.49986088	-1.5404197	-0.40046418	-0.8057208	-1.1204627	-1.0561770000000001	-1.0561770000000001	35	-0.6283712387084961	-2.1781249046325684	-3.1183805465698238	1.9245642423629759	-0.4918893575668335
